"","CNPJ_CIA","CD_CVM","DT_REFER","DT_INI_EXERC","DT_FIM_EXERC","DENOM_CIA","VERSAO","GRUPO_DFP","MOEDA","ESCALA_MOEDA","ORDEM_EXERC","CD_CONTA","DS_CONTA","VL_CONTA","COLUNA_DF","source_file"
"11","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.03.01","Clientes",0,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"12","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.03.02","Outras Contas a Receber",0,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"13","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.04","Estoques",37184000,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"14","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.05","Ativos Biológicos",0,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"15","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.06","Tributos a Recuperar",5703000,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"16","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.06.01","Tributos Correntes a Recuperar",5703000,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"17","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.06.01.01","Imposto de renda e contribuição social",1055000,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"18","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.06.01.02","Impostos e contribuições",4648000,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"19","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.07","Despesas Antecipadas",0,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"20","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.08","Outros Ativos Circulantes",9227000,NA,"dfp_cia_aberta_BPA_con_2023.csv"
