"","ticker","avg_volume"
"248","RSUL4.SA",1222.06953376206
"249","CLSC4.SA",12962.9159967846
"250","BAHI3.SA",4020.71101286174
"251","BGIP4.SA",1125.70217041801
"252","NUTR3.SA",21689.4292604502
"253","SCAR3.SA",16895.384244373
"254","EQMA3B.SA",1850.68327974277
"255","FHER3.SA",462170.563504823
"256","ATOM3.SA",94075.5936495177
"257","BEES4.SA",3541.70418006431
"258","DEXP4.SA",6717.08796764408
"259","MNPR3.SA",11460.7942122186
"260","REDE3.SA",6809.45257234727
"261","EMAE4.SA",4217.78496784566
"262","OSXB3.SA",20373.2893890675
"263","HOOT4.SA",9813.50482315112
"264","VSTE3.SA",24376.7173560422
"265","OIBR4.SA",39097.1993569132
"266","EKTR4.SA",592.604501607717
"267","MTSA4.SA",4987.36736334405
"268","ENGI4.SA",12809.5695337621
"269","CGRA4.SA",12305.2893890675
"270","BAZA3.SA",2016.83279742765
"271","CEEB3.SA",799.490353697749
"272","MGEL4.SA",7917.53979099678
"273","RDNI3.SA",26873.0996784566
"274","CRPG5.SA",13389.8512861736
"275","DOHL4.SA",5668.1097266881
"276","WLMM4.SA",5279.50160771704
"277","BMIN4.SA",911.039389067524
"278","BSLI4.SA",447.408762057878
"279","NEXP3.SA",11212.7045819936
"280","ATMP3.SA",34083.7455787781
"281","AHEB3.SA",94.7138263665595
"282","GEPA4.SA",995.981511254019
"283","AFLT3.SA",1651.28617363344
"284","FRIO3.SA",969.39308681672
"285","PEAB4.SA",119.815112540193
"286","HBTS5.SA",323.0711414791
"287","CTKA4.SA",6191.99316720257
"288","BMKS3.SA",59.7970257234727
"289","PPLA11.SA",166966.720659164
"290","MWET4.SA",5998.91314837153
"291","HETA4.SA",1814.23039806996
"292","MRSA3B.SA",63.2488942501005
"293","IGTI4.SA",3728.8
"294","IGTI4.SA",3728.8
"295","CBEE3.SA",94361.8632891033
"296","NORD3.SA",1300.12062726176
"297","JOPA3.SA",302.613590671492
"298","SNSY3.SA",774.0570969039
"299","BAUH4.SA",1466.61158021713
"300","LUXM4.SA",1271.87133092079
"301","TEKA4.SA",4254.84720546844
"302","CEDO4.SA",5378.98954563731
"303","PLAS3.SA",4908.47768395657
"304","GSHP3.SA",2869.082026538
"305","PSVM11.SA",4293.52611135089
"306","ENMT4.SA",6708.23441897869
"307","SOND5.SA",58.2629674306393
"308","FIEI3.SA",811.000402090873
"309","MAPT4.SA",259.416968234821
"310","RPAD5.SA",4966.23964616003
"311","BALM4.SA",953.040611178126
"312","PATI4.SA",124.700844390832
"313","BDLL4.SA",1723.72416566144
"314","MERC4.SA",862.324085243265
"315","CGAS3.SA",3183.36831523924
"316","RRRP3.SA",4256673.76464435
"317","DTCY3.SA",1548.21954161641
"318","CEED3.SA",115.539203860072
"319","COCE3.SA",61.9622034579815
"320","BNBR3.SA",249.457177322075
"321","APER3.SA",52340.3410008071
